Exercise,URL,Description
Eccentric Chin-Up,https://vimeo.com/111126224,1. Jump or step up to the top of the bar. 2. Pull the bar to your chest with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 3. Don't let your shoulders pop forward. 4. Slowly lower down.
Eccentric Pull-Up,https://vimeo.com/111126225,1. Jump or step up to the top of the bar. 2. Pull the bar to your chest with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 3. Don't let your shoulders pop forward. 4. Slowly lower down.
Elbow Plank Bodysaw,https://vimeo.com/111126227,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag. 4. Move your elbows without losing your positioning.
Explosive Pushup,https://vimeo.com/111126228,1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by pushing upward explosively so that your hands leave the ground.
Face Pull,https://vimeo.com/111126229,1. Let your shoulder blades spread apart when your arms are forward. 2. Pull the cable towards your face and finish with your thumbs pointed upward and your shoulder blades squeezed together and downward. 3. Don't arch your back or let your ribs flare out during the movement.
Feet-Elevated Band-Resisted Pushup,https://vimeo.com/111126845,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Feet-Elevated Pushup,https://vimeo.com/111126847,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Feet-Elevated Pushup to Single-Arm Support,https://vimeo.com/111126849,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish the pushup and then reach one hand over to the opposite shoulder without arching your back, flaring your ribs or rotating your hips."
Feet-Elevated Side Plank,https://vimeo.com/111126850,1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your ribs pulled down throughout the movement. 3. Hold for the allotted time.
Fetal-Position Breathing,https://vimeo.com/111126857,"1. Set up by shifting your hips back so your butt touches your heels, then slide your elbows to knees. 2. Keep your neck neutral, but round your back. 3. Breathe in through your nose and attempt to expand your abdomen, sides and low back.
"
Forearm Wall-Slide at 135 Degrees,https://vimeo.com/111127663,"1. Spread your shoulder blades apart and press your forearms to the wall. 2. Slide your arms up and down the wall. 3. Keep them in contact with the wall throughout the motion. 4. Keep your shoulders down and away from your ears. Do not shrug your shoulders. 
"
Goblet 1 1/4 Squat,https://vimeo.com/111127665,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels. 4. Once you're 1/4 of the way up, drop back down to the bottom before squatting all the way up."
Goblet Lateral Lunge,https://vimeo.com/111127667,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can.
Goblet Lateral Lunge Walk,https://vimeo.com/111127668,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can. 4. Alternate sides with each rep.
Goblet Lateral Squat,https://vimeo.com/111127670,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can.
Goblet Lunge,https://vimeo.com/111128358,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Goblet Reverse Lunge,https://vimeo.com/111128360,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Goblet Reverse Lunge With Blocked Knee,https://vimeo.com/111128362,1. Block your knee so that it doesn't track forward past the middle of your foot. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Goblet Split Squat,https://vimeo.com/111128363,1. Lock your ribs down with your abs. 2. Keep your pelvis square. 3. Keep your weight through your forward heel. 4. Forward knee and bottom knee should be at 90 degrees at the bottom.
Goblet Split Squat With Blocked Knee,https://vimeo.com/111128364,1. Lock your ribs down with your abs. 2. Keep your pelvis square. 3. Keep your weight through your forward heel. 4. Forward knee and bottom knee should be at 90 degrees at the bottom.
Goblet Squat,https://vimeo.com/111129796,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels."
Goblet Squat Iso,https://vimeo.com/111129797,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Actively hold good positioning while in the bottom position. 4. After the allotted time, squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels."
Goblet Squat to Box,https://vimeo.com/111129801,1. Lock your ribs down with your abs. 2. Keep your feet straight ahead. 3. Push your hips back onto the box. 4. Keep your knees straight out over your toes.
Goblet Squat With Pulse,https://vimeo.com/111129802,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. At the bottom, press the weight out in front of you while maintaining good positioning. 4. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels. 4."
Goblet Step-Up,https://vimeo.com/111129805,1. Keep your ribs down and don't arch your back as you're moving. 2. Step onto the box while keeping your hips square. 3. Keep your weight rooted through your heel - Don't come up onto your toes. 4. Step up without rotating your hips open or arching your back. 5. Keep your knee tracking straight over your toes the whole time - don't let it collapse inward.
Half Get-Up,https://vimeo.com/111132215,"1. Keep your arm vertical throughout the movement, and keep your eyes on the weight. 2. Move from elbow, to your hand, to a bridge position. 3. Reverse the motion to return to your back."
Half-Kneeling Band Chop,https://vimeo.com/111132217,"1. Start in a tall position with your chest high and a 90° angle at both knees. 2. Squeeze the glute of your down knee and tuck your tailbone under. Your pelvis should be squared and level. 3. Brace your abs to pull your lower ribs down. 4. Keep your knee out over your little toe as you chop the band down with your arms. 
"
Half-Kneeling Band Lift,https://vimeo.com/111132218,"1. Start in a tall position with your chest high and a 90° angle at both knees. 2. Squeeze the glute of your down knee and tuck your tailbone under. Your pelvis should be squared and level. 3. Brace your abs to pull your lower ribs down. 4. Keep your knee out over your little toe as you chop the band down with your arms. 
"
Half-Kneeling Band Overhead Shrug,https://vimeo.com/111132219,1. Keep your abs braced and your ribs down so that your back doesn't arch during the movement. 
Half-Kneeling Cable Chop,https://vimeo.com/111132220,1. Start in a tall position with your chest high and a 90° angle at both knees. 2. Squeeze the glute of your down knee and tuck your tailbone under. Your pelvis should be squared and level. 3. Brace your abs to pull your lower ribs down. 4. Keep your knee out over your little toe as you chop the cable down with your arms.
Half-Kneeling Cable Lift,https://vimeo.com/111136368,1. Start in a tall position with your chest high and a 90° angle at both knees. 2. Squeeze the glute of your down knee and tuck your tailbone under. Your pelvis should be squared and level. 3. Brace your abs to pull your lower ribs down. 4. Keep your knee out over your little toe as you chop the cable down with your arms.
Half-Kneeling Pallof Press Iso,https://vimeo.com/111136370,"1. Start in a tall position with your chest high and a 90° angle at both knees. 2. Squeeze the glute of your down knee and tuck your tailbone under. Your pelvis should be squared and level. 3. Brace your abs to pull your lower ribs down. 4. Hold your arms out in front of you for the allotted time while keeping your knee out over your little toe, your ribs down and your tailbone tucked under."
Half-Kneeling Pallof Press Iso With Band,https://vimeo.com/111136371,"1. Start in a tall position with your chest high and a 90° angle at both knees. 2. Squeeze the glute of your down knee and tuck your tailbone under. Your pelvis should be squared and level. 3. Brace your abs to pull your lower ribs down. 4. Hold your arms out in front of you for the allotted time while keeping your knee out over your little toe, your ribs down and your tailbone tucked under."
Hamstring Mobilization With Lacrosse Ball,https://vimeo.com/111136372,"1. Sit on hard surface and place a lacrosse ball under your leg. 2. Bend and straighten your knee. 3. Move the ball around and roll your leg inward and outward to find tight spots. 
"
Hand Cross-Over,https://vimeo.com/111136373,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Move only from the shoulder.
Hands-Elevated Pushup,https://vimeo.com/111147882,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Hands-Elevated Pushup to Single-Arm Support,https://vimeo.com/111147885,"1. Only lower as far down as you can without your shoulders popping forward. 2. Squeeze your shoulder blades together and downward at the bottom of the rep. 3. Keep your abs tight and your ribs pulled down so that your lower back doesn't arch. 4. Finish the pushup and then reach one hand over to the opposite shoulder without arching your back, flaring your ribs or rotating your hips."
Hanging Anti-Lateral Flexion,https://vimeo.com/111147886,"1. Hang from the bar while pulling your shoulders down towards your back pockets. 2. Keep your glutes locked out. 
3. Brace your abs while pulling the front of your pelvis towards your ribs, tucking your tailbone under and keeping your feet pointed straight ahead. 4. Hold this position for the allotted time. 
"
Hanging Unilateral March,https://vimeo.com/111160039,"1. Pull your shoulders down toward your back pockets. 2. Pull the front of your pelvis toward your ribs like a reverse crunch and tuck your tailbone under. 3. Hold this pelvic tilt while pulling one knee toward your chest and simultaneously squeezing your opposite glute. 4. Don’t allow your lower back to arch. 
"
Hinge to Side Plank,https://vimeo.com/111147887,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your ribs pulled down throughout the movement. 3. Alternate from a side plank to a center plank without losing your ribs-down positioning, arching your back or rolling your pelvis out of line with your shoulders."
Hip Flexor Stretch,https://vimeo.com/111241987,"1. Kneel with one knee forward. 2. Exhale your ribs down, brace your abs and tuck your tailbone under. 3. Contract your trailing-leg glute. 4. Shhift your hips forward without arching your back, flaring your ribs or extending your tailbone back behind you."
Hip-Belt Squat,https://vimeo.com/111241986,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels. 4. Hold onto something in front of you as a safety measure for balance."
Inchworm,https://vimeo.com/111242695,1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your ribs pulled down throughout the movement. 3. Walk your hands out to stretch out as far as you can without losing tension in your abs. 4. Stop before your back arches and return.
Inverted Row,https://vimeo.com/111241988,"1. Keep your ribs down, abs tight and tailbone tucked between your knees. 2. Allow your shoulder blades to spread apart at the bottom. 3. Pull your lower ribs to the bar, finishing with your shoulder blades locked inward and down. 4. Don't let your shoulder capsules shift forward at the finish of the movement."
Inverted Row With Feet Elevated,https://vimeo.com/111253040,"1. Keep your ribs down, abs tight and tailbone tucked between your knees. 2. Allow your shoulder blades to spread apart at the bottom. 3. Pull your lower ribs to the bar, finishing with your shoulder blades locked inward and down. 4. Don't let your shoulder capsules shift forward at the finish of the movement."
Inverted Row With Weight Vest,https://vimeo.com/111253042,"1. Keep your ribs down, abs tight and tailbone tucked between your knees. 2. Allow your shoulder blades to spread apart at the bottom. 3. Pull your lower ribs to the bar, finishing with your shoulder blade locked inward and down. 4. Don't let your shoulder capsule shift forward at the finish of the movement."
Kettlebell Armbar,https://vimeo.com/111253043,"1. Keep your arm vertical and pack your shoulder blade down. 2. Do not shrug. 3. Brace your abs and use your hips to drive the motion. Exhale and push your hip into the floor to increase the stretch. Relax as you inhale.
"
Kettlebell Split Squat With Blocked Knee,https://vimeo.com/111253046,1. Lock your ribs down with your abs. 2. Keep your pelvis square. 3. Keep your weight through your forward heel. 4. Forward knee and bottom knee should be at 90 degrees at the bottom.
Knees-to-Feet Drill,https://vimeo.com/111253047,"1. Keep your abs tight, your ribs down and your tailbone tucked under. 2. Explode upward to land in a squat position, without arching your back. 3. Land with your heels down, feet straight and knees out. 4. Don’t allow your knees to collapse inward, your heels off the ground or your weight on your toes.
"
Landmine Rainbow,https://vimeo.com/111253795,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your abs tight throughout the movement. 3. Rotate the bar from side to side without letting your hips rotate, your ribs flare out or your lower back arch."
Lat and Triceps Stretch,https://vimeo.com/111253799,"1. Get movement through the shoulder, not the spine."
Lateral Lunge With Overhead Driver,https://vimeo.com/111253800,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can. 4. Raise your arms overhead at the bottom without arching your lower back.
Long-Lever Plank,https://vimeo.com/111253801,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.
Lying Dumbbell Rolling Triceps Extension,https://vimeo.com/111253802,"1. Brace your abs and keep your ribs down. 2. Keep your upper arms still while you lower the weight towards your head. 3. Roll the weights to a bench press position and then press back up while keeping your elbow close to your body. 
"
Lying Dumbbell Tricep Extension,https://vimeo.com/111255275,"1. Brace your abs and keep your ribs down. 2. Keep your upper arm still while you lower the weight towards your head. 3. Press back up while keeping your elbows close to your body. 
"
Mountain Climber,https://vimeo.com/111255276,"1. Brace your abs in order to pull your ribs down, and keep your tailbone tucked under. 2. Keep your shoulders ""active."" Don't let them relax during the movement. 3. Keep a rigid torso and move only from your hips, bringing one knee up at a time. 4. Don’t allow your lower back to arch or your hips to shoot up. 
"
Neutral-Grip Cable Pull-Down,https://vimeo.com/111255278,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Neutral-Grip Pull-Up,https://vimeo.com/111255279,1. Fully extend your arms and let your shoulder blades spread at the bottom. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward at the finish.
Neutral-Grip Seated Band Row,https://vimeo.com/111255280,1. Fully extend your arms and let your shoulder blades spread at the start of the movement. 2. Keep your ribs locked downward by tightly bracing your abs in order to prevent your lower back from arching. 2. Pull the band to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward or your ribs to flare upward or out at the finish.
Neutral-Grip Seated Cable Row,https://vimeo.com/111255576,1. Fully extend your arms and let your shoulder blades spread at the start of the movement. 2. Keep your ribs locked downward by tightly bracing your abs in order to prevent your lower back from arching. 2. Pull the bar to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward or your ribs to flare upward or out at the finish.
No Money Drill,https://vimeo.com/111255574,1. Keep your abs tight and your ribs down so that your back doesn't arch. 2. Bring your hands together with your palms up. 3. Move your hands outward and finish by squeezing your shoulder blades together and downward.
Offset Dumbbell Cross-Over Step-Up,https://vimeo.com/111439616,1. Keep your ribs down and don't arch your back as you're moving. 2. Step across your body while keeping your hips square. 3. Keep your weight rooted through your heel - Don't come up onto your toes. 4. Step up without rotating your hips open or arching your back.
Offset Dumbbell Reverse Lunge,https://vimeo.com/111439617,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Offset Dumbbell Reverse Lunge From Deficit,https://vimeo.com/111439619,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Offset Dumbbell Reverse Lunge to Romanian Deadlift,https://vimeo.com/111439620,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Offset Dumbbell Reverse Lunge With Blocked Knee,https://vimeo.com/111439622,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Offset Dumbbell Slideboard Reverse Lunge,https://vimeo.com/111440105,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Offset Dumbbell Split Squat,https://vimeo.com/111440109,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Offset Dumbbell Step-Up,https://vimeo.com/111440111,"1. Use two different weights, with theh1. Use two different weights, with the lighter weight on the side of your working leg. 2. Keep your ribs down and don't arch your back as you're moving. 3. Step onto the box while keeping your hips square. 4. Keep your weight rooted through your heel - Don't come up onto your toes. 5. Step up without rotating your hips open or arching your back. 6. Keep your knee tracking straight over your toes the whole time - don't let it collapse inward. ter weight on the side of your working leg. 2. Keep your ribs down and don't arch your back as you're moving. 3. Step onto the box while keeping your hips square. 4. Keep your weight rooted through your heel - Don't come up onto your toes. 5. Step up without rotating your hips open or arching your back. 6. Keep your knee tracking straight over your toes the whole time - don't let it collapse inward."
Overhead Band Pallof Press,https://vimeo.com/111440113,"1. Engage your abs to pull your ribs downward. Tuck your tailbone under. 2. Press overhead while moving only your arms. Keep your shoulders pulled down away from your ears so that you don't shrug. 3. Don’t arch your lower back or flare your ribs out. Don't let the band pull you to the side.
"
Overhead Band Press,https://vimeo.com/111440115,1. Engage your abs to pull your ribs downward. Tuck your tailbone under. 2. Press overhead while moving only your arm. Keep your shoulder pulled down away from your ears so that you don't shrug. 3. Don’t arch your lower back or flare your ribs out. Don't let the band pull you to the side.
Overhead Band Tricep Extension,https://vimeo.com/111440651,"1. Engage your abs to pull your ribs downward. Tuck your tailbone under. 2. Press overhead while moving only at your elbow, and keeping your elbow near your ear. 3. Keep your shoulder pulled down away from your ears so that you don't shrug. 4. Don’t arch your lower back or flare your ribs out."
Overhead Barbell Squat,https://vimeo.com/111440652,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels. 4. Don't arch your lower back at the top."
Overhead Broomstick Squat,https://vimeo.com/111440654,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Lower down with your weight in your heels, your feet forward, your knees straight over your little toes and abs braced. 3. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels. 4. Don't arch your lower back at the top."
Overhead Cable Tricep Extension,https://vimeo.com/111440656,"1. Engage your abs to pull your ribs downward. Tuck your tailbone under. 2. Press overhead while moving only at your elbows, and keeping your elbows near your ears. 3. Keep your shoulders pulled down away from your ears so that you don't shrug. 4. Don’t arch your lower back or flare your ribs out."
Overhead Dumbbell Reverse Lunge,https://vimeo.com/111440657,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Overhead Dumbbell Reverse Lunge From Deficit,https://vimeo.com/111469195,1. Lower with your weight on your forward heel. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Overhead Offset Dumbbell Reverse Lunge,https://vimeo.com/111469196,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Overhead Offset Dumbbell Reverse Lunge From Deficit,https://vimeo.com/111469201,1. The lighter of the two dumbbells goes in the hand on the same side as your forward leg. 2. Lower with your weight on your forward heel. 3. Don't let your hips open up at the bottom. Keep them squared forward. 4. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 5. Drive upward with your weight rooted through the heel of your forward foot. 6. Keep your knee tracked straight ahead over your toes.
Pallof Press,https://vimeo.com/111469204,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your abs tight throughout the movement. 3. Press your hands outward without letting your hips rotate, your ribs flare out or arching your lower back."
Pallof Press Iso,https://vimeo.com/111469205,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your abs tight throughout the movement. 3. Press your hands outward without letting your hips rotate, your ribs flare out or arching your lower back. 4. Hold for the allotted time."
Pallof Press Iso With Band,https://vimeo.com/111470519,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your abs tight throughout the movement. 3. Press your hands outward without letting your hips rotate, your ribs flare out or arching your lower back. 4. Hold for the allotted time."
Pallof Press to Overhead,https://vimeo.com/111470520,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your abs tight throughout the movement. 3. Press your hands outward without letting your hips rotate, your ribs flare out or arching your lower back. 4. Continue to hold good positioning while pressing overhead."
Pallof Press With Band,https://vimeo.com/111470523,"1. Position your spine by locking your ribs down in an exhaled position with your abs. 2. Keep your tailbone tucked under and your abs tight throughout the movement. 3. Press your hands outward without letting your hips rotate, your ribs flare out or arching your lower back."
Partial-Range Pushup,https://vimeo.com/111470525,"1. Only lower as far down as you can without your shoulders popping forward, and don't go further than halfway down. 2. Keep your shoulder blades pulled downward toward your back pockets. 3. Keep your abs tight, your ribs pulled down and your tailbone tucked under so that your lower back doesn't arch. 4. Push up and finish by spreading your shoulder blades apart, with your shoulders pulled down away from your ears."
Pec Minor Broomstick Mobilization,https://vimeo.com/111470527,"1. Keep your ribs locked down by tightly bracing your abs. 2. Contract the glute on your trailing leg. 3. Drive the stick upward with your bottom-side hand, pushing it upward to stretch the pec of the upper-side arm. 4. Do not let your ribs flare or your lower back arch."
Pec Mobilization With Lacrosse Ball,https://vimeo.com/111471014,"1. Place the lacrosse ball into the muscle of your pec, just below your shoulder joint. 2. Shorten and lengthen the muscle by moving your arm and apply pressure to release tissue adhesions."
Pigeon Stretch,https://vimeo.com/111471001,"1. Place rear foot on bench. 2. Lower to one knee. 3. Keep ribs down, tailbone tucked under and lumbar spine slightly flexed."
Piriformis Mobilization,https://vimeo.com/111471003,"1. Begin by getting down on your hands and knees. 2. Cross one leg over the other. 3. Push your hips back and to the side, at approximately a 45 degree angle. You should feel a stretch in the middle of your glute. 4. Keep your tailbone tucked under and your abs tight throughout the stretch. 
"
Plank,https://vimeo.com/111471004,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.
Plank Arm March,https://vimeo.com/111471005,"1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag. 4. Move your arms without arching your back, flaring your ribs or rolling your hips."
Plate Squat,https://vimeo.com/111471294,1. Lock your ribs down with your abs. 2. Keep your feet straight ahead. 3. Tuck yor tailbone and squat straight down. 4. Keep your knees straight out over your toes.
Prisoner Squat,https://vimeo.com/111471295,"1. Begin with your abs tightly braced and your ribs pulled downward. Think of tucking your tailbone between your knees to keep your lower back from arching too much. 2. Clasp your hands behind your head. 3. Lower down with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 4. Squat upward while maintaining good positioning with your knees straight forward, neutral spine, weight through heels."
Pronated-Grip Seated Band Row,https://vimeo.com/111471296,1. Fully extend your arms and let your shoulder blades spread at the start of the movement. 2. Keep your ribs locked downward by tightly bracing your abs in order to prevent your lower back from arching. 2. Pull the band to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward or your ribs to flare upward or out at the finish.
Pronated-Grip Seated Cable Row,https://vimeo.com/111471299,1. Fully extend your arms and let your shoulder blades spread at the start of the movement. 2. Keep your ribs locked downward by tightly bracing your abs in order to prevent your lower back from arching. 2. Pull the handle to your chest. 3. Finish the motion with your shoulder blades squeezed fully together and down and your elbows just behind your ribs. 4. Don't let your shoulders pop forward or your ribs to flare upward or out at the finish.
Prone Hip External Rotation,https://vimeo.com/111471300,1. Lie face-down. 2. Tuck your tailbone under and use your abs to pull your ribs down. 3. Rotate your foot outward while moving only at the hips. Keep your lower back still and your abs tightly braced in order to stabilize your spine. 4. Place a rolled-up towel under your waist if you have discomfort in your low back.
Prone Hip Internal Rotation,https://vimeo.com/111471576,1. Lie face-down. 2. Tuck your tailbone under and use your abs to pull your ribs down. 3. Rotate your foot inward while moving only at the hips. Keep your lower back still and your abs tightly braced in order to stabilize your spine. 4. Place a rolled-up towel under your waist if you have discomfort in your low back.
Prone Hip-Flexed Rocking,https://vimeo.com/111471577,"1. Begin by getting down on all fours. 2. Extend one leg straight out. 3. Keep your abs braced, pelvis square and tailbone tucked under. 4. Move your hips laterally without moving from your lower back."
Prone Row to External Rotation,https://vimeo.com/111471578,"1. Keep your chin tucked and head in line with the rest of your spine. 2. Keep your abs tight, your ribs down and your tailbone tucked under. 3. Squeeze your shoulder blades together and downward and then rotate outward at your shoulders only. 4. Don’t jut your chin out, shrug your shoulders, allow your shoulders to roll forward, or arch your lower back.
"
Prone T Raise,https://vimeo.com/111471580,"1. Keep your chin tucked and head in line with the rest of your spine. 2. Tuck your tailbone under and use your abs to keep your ribs pulled down. 3. With your thumbs up, squeeze your shoulder blades together as you move your hands outward. 4. Don’t jut your chin out, shrug your shoulders, allow your shoulders to roll forward, or arch your lower back.
"
